ClusterID	AlignBLK	Alignment_length	genome_pos_mel	genome_pos_yak	genome_pos_pse	genome_pos_vir	length_mel	length_yak	length_pse	length_vir	mappability_mel	mappability_yak	mappability_pse	mappability_vir	ChIP_mel	ChIP_yak	ChIP_pse	ChIP_vir	norm_ChIP_mel	norm_ChIP_yak	norm_ChIP_pse	norm_ChIP_vir	pred_ChIP_mel	pred_ChIP_yak	pred_ChIP_pse	pred_ChIP_vir
1	1	6996	chr3R:540-1340	chr3R:364627-367772	chr2:24909895-24912944	scaffold_13047:8121005-8124442	801	3146	3050	3438	100	96.508	99.672	100	49.89	122.6	44.86	37.23	0.284	0.722	0.44	-0.337	0.3579	1.6295	1.8197	5.0536
5	2	1484	chr3R:29630-30700	chr3R:399767-400828	chr2:24883711-24884885	scaffold_12822:4040362-4041695	1071	1062	1175	1334	100	100	100	100	93.7	133.11	31.83	74.46	0.914	0.804	0.096	0.356	0.7009	0.6147	1.031	1.2833
19	9	1570	chr3R:165990-166937	chr3R:526030-526860	chr2:24760017-24761346	scaffold_12822:3327081-3328306	948	831	1330	1226	100	100	100	100	106.67	122.6	57.26	59.57	1.044	0.722	0.684	0.133	1.7444	1.6132	2.6456	3.3931
24	9	696	chr3R:177980-178520	chr3R:538389-538983	chr2:24747567-24748158	scaffold_12822:3342226-3342719	541	595	592	494	100	100	100	100	73.22	59.55	29.43	32.27	0.667	0	0.018	-0.48	0.9504	0.7747	0.4517	0.5362
33	11	251	chr3R:257414-257664	chr3R:633201-633451	chr2:24517310-24517560	scaffold_12855:2786152-2786402	251	251	251	251	100	100	100	100	34.96	35.03	59.19	22.34	-0.072	-0.531	0.717	-0.848	0.1266	0.1187	0.0275	0.5725
38	12	1515	chr3R:272198-272548	chr3R:649064-649438	chr2:24500860-24501280	scaffold_13047:9356113-9357387	351	375	421	1275	100	100	100	100	28.08	38.53	63.67	27.3	-0.291	-0.436	0.79	-0.647	0.2216	0.2201	1.3269	1.9037
40	12	3717	chr3R:283710-285050	chr3R:661480-662710	chr2:24486484-24487985	scaffold_13047:9336682-9339128	1341	1231	1502	2447	100	100	100	100	127.04	66.55	36.34	44.68	1.218	0.111	0.229	-0.155	2.6145	1.7286	1.2192	3.4164
44	12	2168	chr3R:298200-298810	chr3R:677755-678342	chr2:24470959-24472297	scaffold_13047:9309658-9310777	611	588	1339	1120	100	100	100	100	81.99	59.55	28.06	37.23	0.78	0	-0.03	-0.337	0.5555	0.1822	0.5237	0.5751
45	13	424	chr3R:306600-307000	chr3R:686000-686400	chr4_group1:65774-66158	scaffold_12963:3169475-3169833	401	401	385	359	100	100	100	100	31.8	80.56	23.51	24.82	-0.167	0.302	-0.207	-0.742	0.57	0.1503	0.0349	0.0117
60	22	471	chr3R:527292-527695	chr3R:846193-846587	chr2:24103086-24103531	scaffold_13047:6472120-6472550	404	395	446	431	100	100	100	100	28.02	35.03	35.65	76.94	-0.293	-0.531	0.21	0.389	0.0169	0.4379	0.9119	0.0373
